Sample_title	Sample_geo_accession	Sample_source_name_ch1	Sample_organism_ch1	Sample_characteristics_ch1	Sample_characteristics_ch1	Sample_characteristics_ch1	Sample_characteristics_ch1	Sample_characteristics_ch1	Sample_platform_id	ID_REF
E11.5D_2_05	GSM2396162	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396162
E11.5D_2_06	GSM2396163	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396163
E11.5D_2_07	GSM2396164	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396164
E11.5D_2_08	GSM2396165	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396165
E11.5D_2_09	GSM2396166	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396166
E11.5D_2_10	GSM2396167	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396167
E11.5D_2_11	GSM2396168	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396168
E11.5D_2_12	GSM2396169	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396169
E11.5D_2_13	GSM2396170	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396170
E11.5D_3_01	GSM2396171	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396171
E11.5D_3_02	GSM2396172	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396172
E11.5D_3_03	GSM2396173	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396173
E11.5D_3_04	GSM2396174	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396174
E11.5D_3_05	GSM2396175	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396175
E11.5D_3_06	GSM2396176	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396176
E11.5D_3_07	GSM2396177	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396177
E11.5E_2_01	GSM2396178	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396178
E11.5E_2_02	GSM2396179	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396179
E11.5E_2_03	GSM2396180	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396180
E11.5E_2_04	GSM2396181	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396181
E11.5E_2_05	GSM2396182	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396182
E11.5E_2_06	GSM2396183	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396183
E11.5E_2_07	GSM2396184	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396184
E11.5E_2_08	GSM2396185	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396185
E11.5E_2_09	GSM2396186	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396186
E11.5E_2_10	GSM2396187	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396187
E11.5E_2_11	GSM2396188	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396188
E11.5E_2_12	GSM2396189	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396189
E11.5E_2_13	GSM2396190	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396190
E11.5E_2_14	GSM2396191	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396191
E11.5E_2_15	GSM2396192	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396192
E11.5E_2_16	GSM2396193	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: cholangiocyte	GPL17021	GSM2396193
E11.5E_2_17	GSM2396194	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396194
E11.5E_2_18	GSM2396195	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396195
E11.5E_2_19	GSM2396196	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396196
E11.5E_2_20	GSM2396197	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396197
E11.5E_2_21	GSM2396198	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396198
E11.5E_2_22	GSM2396199	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396199
E11.5E_2_23	GSM2396200	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: cholangiocyte	GPL17021	GSM2396200
E11.5E_2_24	GSM2396201	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396201
E11.5E_2_25	GSM2396202	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396202
E11.5E_2_26	GSM2396203	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396203
E11.5E_3_01	GSM2396204	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396204
E11.5E_3_02	GSM2396205	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396205
E11.5E_3_03	GSM2396206	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396206
E11.5E_3_04	GSM2396207	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396207
E11.5E_3_05	GSM2396208	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396208
E11.5E_3_06	GSM2396209	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396209
E11.5E_3_07	GSM2396210	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396210
E11.5E_3_08	GSM2396211	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P2 gate, EpCAM+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396211
E12.5D_1_01	GSM2396212	Liver	Mus musculus	embryonic day: E12.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396212
E12.5D_1_02	GSM2396213	Liver	Mus musculus	embryonic day: E12.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396213
E12.5D_1_03	GSM2396214	Liver	Mus musculus	embryonic day: E12.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396214
E12.5D_1_04	GSM2396215	Liver	Mus musculus	embryonic day: E12.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396215
E12.5D_1_05	GSM2396216	Liver	Mus musculus	embryonic day: E12.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396216
E12.5D_1_06	GSM2396217	Liver	Mus musculus	embryonic day: E12.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396217
E12.5D_1_07	GSM2396218	Liver	Mus musculus	embryonic day: E12.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396218
E12.5D_1_08	GSM2396219	Liver	Mus musculus	embryonic day: E12.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396219
E12.5D_1_09	GSM2396220	Liver	Mus musculus	embryonic day: E12.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396220
