ID	Symbol	GeneLength	E10.5#1	E10.5#2	E11.5#1	E11.5#2	E12.5#1	E12.5#2	E13.5#1	E13.5#2	E14.5#1	E14.5#2	E15.5#1	E15.5#2	E16.5#1	E16.5#2	E17.5#1	E17.5#2	E18.5#1	E18.5#2
ENSMUSG00000000340	Dbt	3296	1688	1403	1298	1603	1666	688	681	938	1380	1844	1890	2049	3461	2434	1594	2266	2929	1738
ENSMUSG00000000346	Dazap2	1826	2567	2202	1737	1943	2463	1410	1544	1479	2294	1547	1441	1359	1793	1443	906	1131	1418	1040
ENSMUSG00000000355	Mcts1	783	548	480	320	429	523	480	223	159	699	378	368	311	443	376	261	213	316	222
ENSMUSG00000000359	Rem1	1663	2	7	2	0	14	2	22	7	21	2	12	11	5	2	0	1	0	4
ENSMUSG00000000365	Rnf17	5148	24	37	8	15	20	7	2	3	16	6	4	3	1	5	0	0	0	2
ENSMUSG00000000374	Trappc10	5048	1118	1041	722	834	872	630	789	869	1083	611	664	505	572	622	267	271	285	205
ENSMUSG00000000378	Ccm2	1858	713	699	586	590	693	714	804	844	630	460	408	447	382	479	260	211	156	174
ENSMUSG00000000381	Wap	905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	2347	2863	2208	1681	1878	2326	2276	2686	2547	2234	1269	1310	1033	1078	1208	1019	883	824	536
ENSMUSG00000000385	Tmprss2	3159	525	441	287	257	350	341	413	353	437	428	413	509	538	525	219	170	169	117
ENSMUSG00000000386	Mx1	3385	2	0	2	2	2	7	8	4	6	6	1	3	2	1	0	3	5	3
ENSMUSG00000000392	Fap	2867	2	5	0	1	3	6	0	1	1	1	2	2	5	1	2	0	0	5
ENSMUSG00000000394	Gcg	1088	83	124	3	78	27	0	32	0	0	104	18	0	22	0	0	88	18	0
ENSMUSG00000000399	Ndufa9	1322	2296	1808	1811	1849	2532	2458	1993	1927	2181	1993	2153	2325	2831	2282	1891	1585	2105	1536
ENSMUSG00000000402	Egfl6	2704	16	19	7	1	11	5	7	17	6	2	9	11	9	5	0	1	1	0
ENSMUSG00000000409	Lck	2185	170	149	128	100	126	118	92	89	69	44	45	40	27	25	9	14	6	4
ENSMUSG00000000411	Tssk3	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000416	Cttnbp2	5905	39	54	16	12	13	1	14	9	6	5	10	12	9	1	0	0	4	11
ENSMUSG00000000420	Galnt1	4108	4217	3651	2437	2732	3100	1717	1152	968	2272	1868	1575	1497	2015	1882	613	868	907	648
ENSMUSG00000000435	Myf5	2083	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	2240	542	472	389	370	458	350	362	315	400	294	300	288	324	306	169	185	178	88
ENSMUSG00000000440	Pparg	1857	3	1	7	6	16	10	14	16	20	20	26	25	18	25	22	31	75	70
ENSMUSG00000000441	Raf1	3968	3816	3337	2452	2575	3124	2822	3110	2973	3681	2629	2828	2825	3168	2980	1520	1431	1957	1557
ENSMUSG00000000486	Sept1	1486	28	27	30	36	49	35	47	56	84	34	26	28	38	22	6	5	9	11
ENSMUSG00000000489	Pdgfb	2918	62	78	54	74	55	50	46	36	38	27	25	27	33	25	12	5	13	15
ENSMUSG00000000530	Acvrl1	3640	11	9	15	12	3	1	3	9	7	14	14	13	9	9	3	5	4	13
ENSMUSG00000000531	Grasp	2013	28	15	7	4	17	6	5	3	7	6	2	9	2	0	1	2	0	6
ENSMUSG00000000532	Acvr1b	4413	1141	994	1022	1046	1109	794	872	1138	1034	1062	1072	979	1232	1324	532	519	656	400
ENSMUSG00000000538	Tom1l2	4999	523	536	390	406	497	393	530	504	560	375	472	412	376	445	232	167	214	182
ENSMUSG00000000544	Gpa33	2515	4	1	0	1	0	0	0	2	1	1	1	0	0	0	0	0	0	0
ENSMUSG00000000552	Zfp385a	2291	1908	1491	1241	1728	1771	1554	2606	2429	1447	1224	1328	1345	1440	1227	690	678	905	663
ENSMUSG00000000555	Itga5	4379	3144	2593	2787	3039	3688	3291	4793	4452	3575	2634	3096	2840	3827	3270	1397	1294	1754	1225
ENSMUSG00000000560	Gabra2	2392	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561	Wdr77	4286	4197	3551	2149	2269	2247	1944	1356	1633	1851	1108	1069	898	885	961	839	655	453	444
ENSMUSG00000000562	Adora3	2370	0	0	11	6	5	1	7	7	13	11	3	7	4	10	0	0	0	0
ENSMUSG00000000563	Atp5f1	2527	5490	4729	4174	4528	6449	5452	3951	3306	5709	4801	4620	5411	6711	5368	5390	4489	6605	4962
ENSMUSG00000000567	Sox9	4135	289	300	76	137	106	52	86	97	44	33	54	64	68	33	21	38	82	75
ENSMUSG00000000568	Hnrnpd	4320	9012	8600	4471	5488	6584	4076	2870	1519	5976	2940	2590	2593	2985	2560	1406	1527	1337	1188
ENSMUSG00000000579	Dynlt1c	3250	255	244	144	203	257	233	267	153	513	234	314	243	347	222	152	101	173	149
ENSMUSG00000000581	C1d	2981	1151	993	649	806	1024	706	468	338	893	577	573	634	765	705	394	436	478	346
ENSMUSG00000000594	Gm2a	4127	561	463	780	815	1070	884	960	1151	1165	1183	2099	1639	2295	2157	2303	2372	2672	2162
ENSMUSG00000000600	Krit1	6105	970	877	530	543	611	390	289	258	552	390	356	352	315	350	190	209	232	190
ENSMUSG00000000605	Clcn4-2	4578	791	723	540	550	724	477	396	368	766	495	507	467	577	565	394	366	569	437
ENSMUSG00000000606	Vmn2r88	2907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	4330	0	0	4	4	8	0	1	9	19	16	12	20	18	3	0	0	1	0
ENSMUSG00000000627	Sema4f	4086	16	11	0	4	7	3	7	3	1	2	8	0	0	1	3	0	1	2
ENSMUSG00000000628	Hk2	5513	5289	4691	2670	2929	1898	1540	1170	1151	937	755	867	561	864	678	510	595	218	211
ENSMUSG00000000631	Myo18a	7513	5333	4574	3983	3900	4448	3654	4011	4080	3804	3105	3487	2794	2835	3282	2339	1951	2342	1778
ENSMUSG00000000632	Sez6	4523	8	9	2	1	1	0	1	0	0	0	0	3	1	1	1	0	0	1
ENSMUSG00000000673	Haao	1222	61	39	170	196	399	499	1196	1243	1381	1529	1692	2344	3081	2309	2661	1762	2706	1912
ENSMUSG00000000682	Cd52	514	2	2	43	29	63	41	55	42	67	47	52	86	41	23	13	32	20	10
ENSMUSG00000000686	Abhd15	2662	78	66	133	119	139	107	120	165	80	129	105	113	161	122	59	51	75	40
ENSMUSG00000000690	Hoxb6	1964	31	30	1	0	2	0	0	1	1	1	0	0	2	0	0	0	0	0
ENSMUSG00000000693	Loxl3	4098	67	79	33	16	68	20	176	23	86	8	32	26	13	7	0	1	0	7
ENSMUSG00000000701	Tcl1b5	1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	3423	3	0	2	1	1	1	4	1	7	6	3	2	2	0	0	0	2	1
ENSMUSG00000000708	Kat2b	4653	300	280	296	343	487	225	241	241	571	558	698	756	1185	790	722	864	1168	868
ENSMUSG00000000711	Rab5b	3166	1484	1403	1251	1236	1521	864	1001	1219	1373	1382	1448	1315	1572	1711	816	982	1490	867
ENSMUSG00000000724	Cryba1	1377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730	Dnmt3l	1822	1	1	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0
ENSMUSG00000000731	Aire	2966	4	9	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000732	Icosl	2756	481	420	561	595	722	779	739	830	849	505	592	396	348	480	74	105	135	145
ENSMUSG00000000738	Spg7	3385	1695	1440	1288	1289	1542	1794	1535	1537	1645	1029	922	899	899	969	588	399	479	415
ENSMUSG00000000739	Sult5a1	1150	27	37	12	13	25	13	11	20	11	8	9	10	14	9	7	9	10	32
ENSMUSG00000000740	Rpl13	1969	9343	9291	6310	9506	14941	11541	18561	10123	9411	6547	6591	7438	9346	4801	5610	4749	4166	4541
ENSMUSG00000000743	Chmp1a	2140	1573	1209	998	1017	1216	1158	1305	1363	1181	902	854	862	932	881	722	710	823	572
ENSMUSG00000000751	Rpa1	5077	3539	3131	1973	2050	2391	1902	1681	1632	1851	1378	1155	1160	1349	1330	400	431	321	242
ENSMUSG00000000753	Serpinf1	1832	7693	6039	7610	8031	11358	11932	15385	16412	10901	9898	11201	12432	16162	13343	11423	9408	12700	8525
ENSMUSG00000000759	Tubgcp3	5724	1346	1265	765	907	1022	722	839	720	1448	665	605	627	608	558	252	243	337	201
ENSMUSG00000000766	Oprm1	2420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	2049	843	782	550	574	727	623	691	583	737	410	395	456	393	389	298	248	198	173
ENSMUSG00000000782	Tcf7	2471	1138	885	592	648	696	470	570	662	382	290	267	200	128	241	66	89	64	75
ENSMUSG00000000787	Ddx3x	4692	23356	19971	11552	12648	12799	5919	3992	3534	8764	7438	6971	5874	6530	6538	2792	4341	5059	3453
ENSMUSG00000000791	Il12rb1	2873	1	1	1	2	8	6	7	9	5	4	4	2	12	4	7	12	4	1
ENSMUSG00000000792	Slc5a5	2928	26	19	12	14	7	11	7	8	2	3	1	1	0	1	23	6	0	13
ENSMUSG00000000794	Kcnn3	5254	21	19	1	2	1	0	1	0	0	2	0	0	0	1	0	1	1	1
ENSMUSG00000000804	Usp32	7053	1032	1034	827	908	804	393	435	323	852	761	814	658	654	539	266	398	563	418
ENSMUSG00000000805	Car4	1256	1792	1539	484	568	319	252	155	94	65	18	20	3	1	6	0	0	0	0
ENSMUSG00000000811	Txnrd3	2836	354	325	331	346	379	289	262	266	241	192	158	116	124	128	115	104	81	51
ENSMUSG00000000817	Fasl	1935	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000823	Znf512b	5714	3154	2702	2178	2324	2626	2076	2732	2724	3230	1894	1816	1604	1901	2000	1212	1021	1045	683
ENSMUSG00000000826	Dnajc5	6578	3236	2832	1853	2153	2250	1431	1363	1312	1880	1405	1330	1202	1333	1539	752	918	904	737
ENSMUSG00000000827	Tpd52l2	3603	1593	1332	968	1113	1293	901	1008	921	1256	832	854	733	842	740	528	544	548	464
ENSMUSG00000000838	Fmr1	4409	3033	2706	1886	2228	2521	1277	738	525	1967	1812	1616	1441	1813	1697	408	574	522	370
ENSMUSG00000000861	Bcl11a	5989	129	124	49	174	171	54	118	105	545	144	85	64	20	54	7	11	16	27
ENSMUSG00000000869	Il4	605	0	0	2	3	4	1	3	2	7	2	7	1	5	0	0	0	0	0
ENSMUSG00000000876	Pxmp4	2789	696	502	1014	1162	1746	1483	1836	2117	2568	2052	2054	2546	3435	2355	2016	1749	2514	2019
ENSMUSG00000000881	Dlg3	5017	1173	943	498	594	500	501	336	312	401	296	254	275	360	301	274	239	407	322
ENSMUSG00000000884	Gnb1l	3596	148	176	101	124	139	155	143	131	105	63	79	56	68	72	36	35	22	12
ENSMUSG00000000889	Dbh	2552	121	145	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000901	Mmp11	2288	368	395	159	130	185	136	110	111	117	85	86	96	55	56	23	26	36	21
ENSMUSG00000000902	Smarcb1	7441	2631	2435	1605	2095	2427	2069	2746	2155	2072	1353	1234	1326	1260	1106	527	521	338	332
ENSMUSG00000000903	Vpreb3	729	0	0	0	0	2	2	6	0	3	2	1	2	1	1	4	2	3	2
ENSMUSG00000000915	Hip1r	4388	4240	3368	4007	4783	5517	6022	6343	5861	5844	3704	4260	3754	3829	3937	2397	1774	1931	1767
ENSMUSG00000000916	Nsun5	2243	558	464	291	392	385	469	553	442	522	226	240	190	180	214	228	126	119	94
ENSMUSG00000000934	Top1mt	1903	358	275	384	407	604	762	748	714	848	597	707	714	824	757	890	549	849	551
ENSMUSG00000000938	Hoxa10	2565	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000942	Hoxa4	1594	42	70	11	13	16	4	10	3	5	1	2	3	3	1	1	0	1	0
ENSMUSG00000000948	Snrpn	3937	1014	941	392	505	492	368	330	237	325	259	225	193	156	155	89	108	163	116
ENSMUSG00000000957	Mmp14	2597	3247	2841	1984	1902	2417	1320	1875	2276	1345	1659	1741	1407	1638	1717	612	887	938	846
ENSMUSG00000000958	Slc7a7	2142	212	149	270	271	406	449	497	512	584	404	382	470	420	467	216	165	93	128
ENSMUSG00000000959	Oxa1l	2534	1811	1576	1307	1563	1800	1658	1965	2101	1718	1342	1442	1321	1388	1374	925	900	984	729
ENSMUSG00000000976	Heatr6	5614	847	738	500	568	622	506	625	550	669	450	520	470	520	503	341	316	321	274
ENSMUSG00000000982	Ccl3	766	8	1	24	5	38	15	37	23	79	38	30	52	40	4	0	0	0	2
ENSMUSG00000000983	Wfdc18	917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001014	Icam4	907	6	5	9	40	38	26	53	41	123	42	21	16	10	12	1	2	11	0
ENSMUSG00000001016	Ilf2	1973	4472	4049	2130	2559	2555	2283	1792	1512	2143	1159	1073	983	1030	1129	465	429	314	319
ENSMUSG00000001017	Chtop	3257	3813	3421	2215	2565	2872	2419	1880	1381	2441	1769	1546	1568	1885	1764	1074	1080	1054	833
ENSMUSG00000001018	Snapin	1928	466	434	312	342	442	287	259	205	460	282	204	266	290	278	142	145	174	111
ENSMUSG00000001020	S100a4	498	0	1	1	0	0	0	1	1	2	0	1	0	0	0	0	0	0	1
ENSMUSG00000001021	S100a3	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001023	S100a5	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025	S100a6	719	15	20	8	6	15	13	12	10	16	11	16	23	25	4	2	2	5	10
ENSMUSG00000001027	Scn4a	6598	13	11	7	4	1	5	8	8	9	5	11	7	5	4	2	0	2	0
ENSMUSG00000001029	Icam2	1282	6	6	16	19	32	10	16	11	46	17	10	19	18	12	1	9	3	27
ENSMUSG00000001034	Mapk7	4238	783	666	425	469	613	477	743	582	514	259	265	191	159	201	65	64	51	52
ENSMUSG00000001036	Epn2	4458	776	734	390	416	517	331	392	383	422	273	279	253	225	239	101	103	107	82
ENSMUSG00000001039	B9d1	890	139	114	67	57	75	58	63	33	37	14	8	6	4	6	4	3	2	8
ENSMUSG00000001052	Sec24b	5128	1929	1748	1139	1238	1393	917	1187	1114	1332	921	1038	821	983	879	681	635	637	522
ENSMUSG00000001053	N4bp3	2367	203	182	154	151	197	169	265	222	147	142	123	124	84	125	54	46	31	42
ENSMUSG00000001054	Rmnd5b	1946	338	355	289	346	427	341	500	471	417	294	244	283	280	344	143	181	158	84
ENSMUSG00000001056	Nhp2	1042	2272	1953	1095	1260	1570	1464	1756	1324	1269	630	544	513	508	458	441	347	233	190
ENSMUSG00000001062	Vps9d1	3233	408	388	238	294	410	393	585	458	600	295	302	384	356	333	205	156	227	178
ENSMUSG00000001065	Zfp276	4111	391	319	287	340	449	412	623	439	637	344	309	383	404	376	318	271	305	253
ENSMUSG00000001076	C1ql4	874	1	2	3	1	0	1	1	0	2	0	0	0	4	0	1	0	0	0
ENSMUSG00000001082	Mfsd10	1907	1046	926	676	774	969	838	1114	897	1014	395	368	311	294	292	165	122	74	73
ENSMUSG00000001089	Luzp1	7526	1864	1802	866	929	946	553	521	425	621	588	637	552	480	505	209	296	264	243
ENSMUSG00000001095	Slc13a2	2412	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	2	1
ENSMUSG00000001098	Kctd10	3110	1457	1369	831	865	1126	759	709	761	821	520	558	468	463	528	273	239	176	184
ENSMUSG00000001100	Poldip2	2054	2306	2143	1800	2136	2574	2218	2436	2526	2094	1753	1713	1656	1998	1766	1478	1328	1545	1149
ENSMUSG00000001103	Sebox	1351	7	5	12	7	10	12	15	11	19	24	6	11	13	11	5	1	6	3
ENSMUSG00000001105	Ift20	1167	574	511	489	525	722	635	650	602	787	555	529	639	729	519	450	484	525	525
ENSMUSG00000001119	Col6a1	4100	660	616	337	216	957	215	1151	299	1173	121	285	341	176	75	17	14	0	46
ENSMUSG00000001120	Pcbp3	2544	248	249	155	180	180	169	173	154	107	107	67	65	94	77	27	19	30	15
ENSMUSG00000001123	Lgals9	1586	94	78	237	265	754	596	1719	2449	3308	3294	4567	4403	6841	5618	3819	4291	5279	3940
ENSMUSG00000001127	Araf	2854	1964	1773	1589	1723	2298	2242	2427	2059	2819	1573	1762	1625	1780	1554	1282	942	1299	869
ENSMUSG00000001128	Cfp	1636	126	110	156	152	152	239	237	195	318	169	173	165	150	184	92	53	48	60
ENSMUSG00000001131	Timp1	883	89	95	41	59	77	73	74	57	46	31	31	30	18	19	3	7	2	7
ENSMUSG00000001134	Uxt	875	191	162	136	183	212	202	235	200	162	117	139	128	150	103	97	85	93	82
ENSMUSG00000001138	Cnnm3	5292	922	773	542	619	680	545	588	572	632	418	380	365	524	421	321	263	313	211
ENSMUSG00000001143	Lman2l	4062	870	797	534	489	593	542	443	382	490	368	345	435	413	402	292	248	363	295
ENSMUSG00000001150	Mcm3ap	6382	1974	1734	1077	1136	1274	757	967	978	1210	799	801	590	735	713	352	384	490	320
ENSMUSG00000001151	Pcnt	9530	1962	2221	1300	1500	1303	755	1040	881	1242	856	776	650	596	716	234	273	254	221
ENSMUSG00000001155	Ftcd	2914	1071	733	1878	2027	2927	3682	4591	4561	5807	3769	4654	5224	6260	5532	6341	3021	6027	3720
ENSMUSG00000001156	Mxd1	4662	238	218	153	182	255	163	164	147	233	185	200	241	247	189	134	116	170	198
ENSMUSG00000001157	Gmcl1	2944	774	753	405	473	557	351	232	212	483	431	353	348	403	363	194	193	265	191
ENSMUSG00000001158	Snrnp27	1005	793	690	403	533	804	581	573	349	704	430	406	401	515	367	184	215	202	152
ENSMUSG00000001166	Oas1c	2291	2	7	1	0	1	0	2	6	4	1	2	0	1	1	1	0	3	4
ENSMUSG00000001168	Oas1h	1709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001173	Ocrl	5253	708	668	416	431	500	263	295	214	445	373	343	316	321	332	160	221	202	136
ENSMUSG00000001175	Calm1	4107	7886	7197	4643	6259	7344	4946	4459	3302	5386	4152	3187	3483	3823	3238	1089	1398	1250	1202
ENSMUSG00000001211	Agpat3	5980	1666	1411	1250	1300	1763	1492	1956	1998	1700	1639	1807	2226	3113	2310	2275	1905	3212	2080
ENSMUSG00000001225	Slc26a3	3462	0	0	1	0	0	0	0	2	7	5	2	1	2	0	0	0	0	0
ENSMUSG00000001227	Sema6b	3847	67	52	50	61	61	84	86	95	84	52	58	105	315	69	502	367	197	111
ENSMUSG00000001228	Uhrf1	3586	7686	6640	4995	4804	5675	4281	4476	4776	4613	2680	2366	2002	2120	2445	295	374	71	121
ENSMUSG00000001229	Dpp9	3509	2060	1683	1548	1503	1921	1679	2282	2563	2174	1364	1590	1538	1984	1703	1228	1096	1192	973
ENSMUSG00000001240	Ramp2	1478	118	91	48	87	81	53	125	44	55	12	14	30	19	10	2	7	11	19
ENSMUSG00000001247	Lsr	2167	2531	2033	1915	2063	2561	2514	2784	2930	1985	1695	1871	1918	2033	2008	1184	998	953	850
ENSMUSG00000001248	Gramd1a	3810	1860	1551	962	1089	1385	1809	2208	1456	2028	673	1008	804	751	674	1003	590	502	619
ENSMUSG00000001249	Hpn	1861	2103	1736	2412	2471	3475	3965	5332	6716	5158	4802	5879	6407	8375	6748	7176	5142	6939	5156
ENSMUSG00000001260	Gabrg1	4771	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001270	Ckb	1478	439	357	186	243	324	213	278	127	153	69	59	77	41	33	9	9	2	12
