"tcga_id"	"cohort"	"purity"	"log2_bap1"	"copynumber_absolute_bap1"	"bap1_segment_location"	"bap1_segment_width"
"TCGA-DK-AA6Q-01"	"TCGA-BLCA"	0.73	11.8905692003891	1	"chr3:2170634-76479061"	74308428
"TCGA-4Z-AA89-01"	"TCGA-BLCA"	0.87	11.6292791461098	2	"chr3:30305863-76262876"	45957014
"TCGA-K4-A6FZ-01"	"TCGA-BLCA"	0.33	11.9246106438864	3	"chr3:2170634-106719191"	104548558
"TCGA-FD-A6TF-01"	"TCGA-BLCA"	0.31	12.334787964886	4	"chr3:48201192-52985469"	4784278
"TCGA-ZF-AA4W-01"	"TCGA-BLCA"	0.35	11.4353607630984	1	"chr3:37120525-91462299"	54341775
"TCGA-DK-AA6W-01"	"TCGA-BLCA"	0.8	11.8946065647341	2	"chr3:42669035-52898992"	10229958
"TCGA-2F-A9KP-01"	"TCGA-BLCA"	0.64	11.5512554116672	4	"chr3:50689088-53511535"	2822448
"TCGA-YF-AA3L-01"	"TCGA-BLCA"	0.91	12.6108568521767	4	"chr3:46705547-53561685"	6856139
"TCGA-K4-A6MB-01"	"TCGA-BLCA"	0.75	12.4474846217997	4	"chr3:37059015-59250441"	22191427
"TCGA-CU-A0YN-01"	"TCGA-BLCA"	0.4	11.6034886614386	2	"chr3:17995202-78277837"	60282636
"TCGA-KQ-A41N-01"	"TCGA-BLCA"	0.76	11.8987771995239	2	"chr3:42181346-62058562"	19877217
"TCGA-K4-A3WS-01"	"TCGA-BLCA"	0.4	11.4812269349751	4	"chr3:41862178-59466641"	17604464
"TCGA-BT-A0S7-01"	"TCGA-BLCA"	0.29	11.9503077295004	5	"chr3:2170634-68161221"	65990588
"TCGA-HQ-A2OF-01"	"TCGA-BLCA"	0.93	12.2788034206868	3	"chr3:2170634-197812401"	195641768
"TCGA-R3-A69X-01"	"TCGA-BLCA"	0.22	12.1351461979483	4	"chr3:2170634-153582776"	151412143
"TCGA-GU-A762-01"	"TCGA-BLCA"	0.31	13.022588015056	4	"chr3:8567682-58570824"	50003143
"TCGA-GC-A3RD-01"	"TCGA-BLCA"	0.71	11.9251086722505	3	"chr3:45158972-53384771"	8225800
"TCGA-XF-A9SI-01"	"TCGA-BLCA"	0.21	12.0325180677683	1	"chr3:2170634-146657977"	144487344
"TCGA-CF-A8HY-01"	"TCGA-BLCA"	0.87	12.0776691232989	3	"chr3:44398077-53371619"	8973543
"TCGA-FJ-A3Z7-01"	"TCGA-BLCA"	0.54	11.6629639388663	3	"chr3:44616294-88812654"	44196361
"TCGA-FD-A3SR-01"	"TCGA-BLCA"	0.57	12.3574815239157	3	"chr3:46164284-52783577"	6619294
"TCGA-XF-A9T6-01"	"TCGA-BLCA"	0.83	12.5798491984193	2	"chr3:12958440-59720118"	46761679
"TCGA-E7-A7DU-01"	"TCGA-BLCA"	0.84	12.4188712977408	4	"chr3:2170634-59603515"	57432882
"TCGA-G2-A2ES-01"	"TCGA-BLCA"	0.55	11.4054616008975	1	"chr3:52121716-65958391"	13836676
"TCGA-FJ-A3Z9-01"	"TCGA-BLCA"	0.85	11.5321865695937	2	"chr3:34050418-58319306"	24268889
"TCGA-BT-A3PK-01"	"TCGA-BLCA"	0.28	12.587708586745	2	"chr3:2170634-61040827"	58870194
"TCGA-CF-A9FF-01"	"TCGA-BLCA"	0.73	11.637369141783	2	"chr3:2170634-197812401"	195641768
"TCGA-DK-A6B0-01"	"TCGA-BLCA"	0.9	11.5345338766104	2	"chr3:2170634-189300304"	187129671
"TCGA-ZF-A9RN-01"	"TCGA-BLCA"	0.81	10.6455440355671	1	"chr3:46575821-54098690"	7522870
"TCGA-FD-A62P-01"	"TCGA-BLCA"	0.19	11.8630522997238	4	"chr3:46381878-77463107"	31081230
"TCGA-E7-A519-01"	"TCGA-BLCA"	0.64	12.7533173089103	2	"chr3:2170634-127226767"	125056134
"TCGA-BT-A20J-01"	"TCGA-BLCA"	0.4	12.4009121298393	3	"chr3:51058714-66703726"	15645013
"TCGA-GC-A3I6-01"	"TCGA-BLCA"	0.73	11.4595650352929	2	"chr3:37725730-53796727"	16070998
"TCGA-XF-A9SP-01"	"TCGA-BLCA"	0.26	11.94573580128	5	"chr3:45607178-70544572"	24937395
"TCGA-S5-A6DX-01"	"TCGA-BLCA"	0.39	11.5134956896167	2	"chr3:49771548-54016080"	4244533
"TCGA-FD-A43S-01"	"TCGA-BLCA"	1	12.1918187135001	2	"chr3:2170634-197812401"	195641768
"TCGA-GC-A3BM-01"	"TCGA-BLCA"	0.86	11.6744077161836	3	"chr3:50511464-53422395"	2910932
"TCGA-4Z-AA7N-01"	"TCGA-BLCA"	NA	11.6654963989732	NA	"chr3:33393138-197812401"	164419264
"TCGA-4Z-AA83-01"	"TCGA-BLCA"	0.84	12.2746534917357	2	"chr3:52353576-52452016"	98441
"TCGA-BT-A2LA-01"	"TCGA-BLCA"	0.95	12.7296024524042	4	"chr3:4362340-53285185"	48922846
"TCGA-GV-A3QG-01"	"TCGA-BLCA"	0.46	11.831403754931	2	"chr3:52176856-89875609"	37698754
"TCGA-CU-A5W6-01"	"TCGA-BLCA"	0.47	11.9233583259646	4	"chr3:51250763-159280362"	108029600
"TCGA-FD-A3SS-01"	"TCGA-BLCA"	0.76	12.3817800799259	2	"chr3:30683888-73802885"	43118998
"TCGA-FT-A61P-01"	"TCGA-BLCA"	0.31	11.8740144937797	4	"chr3:12268740-61164470"	48895731
"TCGA-SY-A9G5-01"	"TCGA-BLCA"	0.36	12.5768172425648	3	"chr3:6143031-78048663"	71905633
"TCGA-ZF-A9RM-01"	"TCGA-BLCA"	0.82	12.1267926147743	5	"chr3:51699110-53615581"	1916472
"TCGA-CF-A27C-01"	"TCGA-BLCA"	0.98	12.0915624703337	2	"chr3:27808943-76105802"	48296860
"TCGA-XF-A9SG-01"	"TCGA-BLCA"	0.5	NA	4	"chr3:42636422-53697382"	11060961
"TCGA-CU-A0YR-01"	"TCGA-BLCA"	0.47	11.2906423930641	2	"chr3:50179660-66394125"	16214466
"TCGA-XF-AAMR-01"	"TCGA-BLCA"	0.4	11.2907424205901	1	"chr3:48102364-58079912"	9977549
"TCGA-4Z-AA7W-01"	"TCGA-BLCA"	0.32	12.3415827612955	2	"chr3:20584167-59652761"	39068595
"TCGA-CF-A47X-01"	"TCGA-BLCA"	0.88	11.0173971381426	2	"chr3:51310724-54104596"	2793873
"TCGA-XF-AAMQ-01"	"TCGA-BLCA"	0.7	11.3578478198974	2	"chr3:39374515-52424106"	13049592
"TCGA-4Z-AA7O-01"	"TCGA-BLCA"	0.84	11.9380076602661	2	"chr3:46886248-53379396"	6493149
"TCGA-CF-A9FH-01"	"TCGA-BLCA"	0.95	11.8389239164806	2	"chr3:2170634-197812401"	195641768
"TCGA-BT-A20U-01"	"TCGA-BLCA"	0.5	12.280653586791	2	"chr3:2170634-95781111"	93610478
"TCGA-XF-A8HE-01"	"TCGA-BLCA"	0.37	11.9584763791746	2	"chr3:19093870-82256765"	63162896
"TCGA-E7-A8O8-01"	"TCGA-BLCA"	NA	11.1258157632853	NA	"chr3:51767007-57851870"	6084864
"TCGA-XF-A8HF-01"	"TCGA-BLCA"	0.69	11.913987327649	5	"chr3:46368145-141455579"	95087435
"TCGA-DK-A1AD-01"	"TCGA-BLCA"	0.73	11.3102463328563	4	"chr3:51662048-61110552"	9448505
"TCGA-FD-A3B4-01"	"TCGA-BLCA"	0.62	11.9132623008983	1	"chr3:47037515-53472021"	6434507
"TCGA-XF-A9SY-01"	"TCGA-BLCA"	0.18	11.6518847926728	2	"chr3:2170634-54364345"	52193712
"TCGA-K4-A4AB-01"	"TCGA-BLCA"	0.56	12.005904468692	4	"chr3:2170634-89236844"	87066211
"TCGA-FD-A3N6-01"	"TCGA-BLCA"	0.83	11.9432015581787	2	"chr3:2170634-184542241"	182371608
"TCGA-BT-A42E-01"	"TCGA-BLCA"	0.48	11.574621297589	2	"chr3:34612166-90200333"	55588168
"TCGA-FD-A5BY-01"	"TCGA-BLCA"	0.58	11.303222346321	2	"chr3:47470208-118004352"	70534145
"TCGA-XF-AAMJ-01"	"TCGA-BLCA"	0.24	12.3047323000806	4	"chr3:2170634-197812401"	195641768
"TCGA-DK-A1A5-01"	"TCGA-BLCA"	0.59	11.8643087900162	4	"chr3:2170634-71762947"	69592314
