"tcga_id"	"cohort"	"purity"	"log2_bap1"	"low_expresser"	"copynumber_absolute_bap1"	"bap1_segment_location"	"bap1_segment_width"	"altered_status"	"alteration_type"
"TCGA-FD-A62S-01"	"TCGA-BLCA"	0.36	12.33181108697	FALSE	2	"chr3:2170634-94059033"	91888400	"unaltered"	"unaltered"
"TCGA-FD-A5C0-01"	"TCGA-BLCA"	0.58	12.9585403467648	FALSE	4	"chr3:46547183-53379396"	6832214	"unaltered"	"unaltered"
"TCGA-GU-A42R-01"	"TCGA-BLCA"	0.78	10.8671632443079	TRUE	1	"chr3:47295025-59720118"	12425094	"altered"	"copynumber"
"TCGA-UY-A78M-01"	"TCGA-BLCA"	0.69	11.6795239018485	FALSE	2	"chr3:44653014-54232204"	9579191	"altered"	"mutation"
"TCGA-GV-A3QI-01"	"TCGA-BLCA"	0.95	11.2683078981656	TRUE	3	"chr3:46665706-68363298"	21697593	"unaltered"	"unaltered"
"TCGA-FD-A5C1-01"	"TCGA-BLCA"	0.49	11.8605058703277	FALSE	1	"chr3:2170634-150114622"	147943989	"altered"	"copynumber"
"TCGA-DK-AA6X-01"	"TCGA-BLCA"	0.44	11.9357695505469	FALSE	2	"chr3:2170634-80157232"	77986599	"unaltered"	"unaltered"
"TCGA-CU-A3YL-01"	"TCGA-BLCA"	0.73	11.5963518298863	FALSE	1	"chr3:42174077-71039097"	28865021	"altered"	"copynumber"
"TCGA-FD-A6TH-01"	"TCGA-BLCA"	0.77	12.5567417545115	FALSE	4	"chr3:30005149-59652761"	29647613	"unaltered"	"unaltered"
"TCGA-BT-A20T-01"	"TCGA-BLCA"	0.75	11.1586774772234	TRUE	1	"chr3:32344243-78685835"	46341593	"altered"	"copynumber"
"TCGA-FD-A6TG-01"	"TCGA-BLCA"	0.39	11.4714138153386	TRUE	2	"chr3:50284408-59475123"	9190716	"unaltered"	"unaltered"
"TCGA-DK-A6B1-01"	"TCGA-BLCA"	0.83	11.4383589960283	TRUE	3	"chr3:2170634-61798162"	59627529	"unaltered"	"unaltered"
"TCGA-ZF-AA58-01"	"TCGA-BLCA"	0.31	12.5553758020658	FALSE	3	"chr3:46157279-54131922"	7974644	"unaltered"	"unaltered"
"TCGA-CF-A47T-01"	"TCGA-BLCA"	0.94	11.8139479081922	FALSE	2	"chr3:11194316-115963007"	104768692	"unaltered"	"unaltered"
"TCGA-XF-AAMH-01"	"TCGA-BLCA"	0.88	12.1545350070331	FALSE	2	"chr3:2170634-197812401"	195641768	"unaltered"	"unaltered"
"TCGA-BL-A3JM-01"	"TCGA-BLCA"	0.76	11.7480625572378	FALSE	2	"chr3:50875415-72233071"	21357657	"unaltered"	"unaltered"
"TCGA-FD-A6TI-01"	"TCGA-BLCA"	0.5	11.7335846161201	FALSE	6	"chr3:2170634-145828458"	143657825	"unaltered"	"unaltered"
"TCGA-FD-A3SN-01"	"TCGA-BLCA"	0.73	13.0888483148411	FALSE	2	"chr3:52397741-52492820"	95080	"unaltered"	"unaltered"
"TCGA-ZF-AA51-01"	"TCGA-BLCA"	0.5	12.2415998455837	FALSE	5	"chr3:50043613-52557249"	2513637	"unaltered"	"unaltered"
"TCGA-GV-A40G-01"	"TCGA-BLCA"	0.73	12.3706315041147	FALSE	4	"chr3:50369913-53201854"	2831942	"unaltered"	"unaltered"
"TCGA-DK-AA6U-01"	"TCGA-BLCA"	0.77	11.9567007372112	FALSE	2	"chr3:38999905-55082152"	16082248	"unaltered"	"unaltered"
"TCGA-DK-A6B2-01"	"TCGA-BLCA"	0.49	11.455935386972	TRUE	3	"chr3:41693201-61487212"	19794012	"unaltered"	"unaltered"
"TCGA-CF-A47W-01"	"TCGA-BLCA"	0.94	11.8094863066464	FALSE	2	"chr3:42174077-133292827"	91118751	"unaltered"	"unaltered"
"TCGA-FD-A43U-01"	"TCGA-BLCA"	0.2	12.148372644451	FALSE	4	"chr3:48380284-61895855"	13515572	"unaltered"	"unaltered"
"TCGA-FD-A3NA-01"	"TCGA-BLCA"	0.43	11.5571257591082	FALSE	3	"chr3:50661849-58805631"	8143783	"unaltered"	"unaltered"
"TCGA-DK-A3IL-01"	"TCGA-BLCA"	0.74	11.8580921996227	FALSE	3	"chr3:43214861-53304484"	10089624	"unaltered"	"unaltered"
"TCGA-XF-A8HC-01"	"TCGA-BLCA"	0.96	12.2661023963413	FALSE	5	"chr3:50940837-53279022"	2338186	"unaltered"	"unaltered"
"TCGA-ZF-AA4T-01"	"TCGA-BLCA"	0.39	12.399649769123	FALSE	7	"chr3:48749256-53490024"	4740769	"unaltered"	"unaltered"
"TCGA-E7-A97P-01"	"TCGA-BLCA"	0.45	12.20928294111	FALSE	2	"chr3:2170634-116100025"	113929392	"unaltered"	"unaltered"
"TCGA-XF-AAMW-01"	"TCGA-BLCA"	0.53	11.9215037003566	FALSE	3	"chr3:34792081-61040294"	26248214	"unaltered"	"unaltered"
"TCGA-E5-A4U1-01"	"TCGA-BLCA"	0.78	12.8021854298969	FALSE	4	"chr3:50694971-62895213"	12200243	"unaltered"	"unaltered"
"TCGA-E7-A8O7-01"	"TCGA-BLCA"	0.84	11.8748024517611	FALSE	2	"chr3:2170634-80569442"	78398809	"unaltered"	"unaltered"
"TCGA-CF-A3MF-01"	"TCGA-BLCA"	0.78	13.1901222725446	FALSE	5	"chr3:50350952-90368798"	40017847	"unaltered"	"unaltered"
"TCGA-ZF-A9RG-01"	"TCGA-BLCA"	0.24	NA	FALSE	2	"chr3:2170634-61451307"	59280674	"unaltered"	"unaltered"
"TCGA-4Z-AA7M-01"	"TCGA-BLCA"	0.6	12.0102473412507	FALSE	4	"chr3:42863657-53625912"	10762256	"unaltered"	"unaltered"
"TCGA-GC-A3OO-01"	"TCGA-BLCA"	0.33	12.015308671164	FALSE	3	"chr3:2170634-72116687"	69946054	"unaltered"	"unaltered"
"TCGA-K4-A4AC-01"	"TCGA-BLCA"	0.32	12.592432783699	FALSE	2	"chr3:31228867-79910744"	48681878	"unaltered"	"unaltered"
"TCGA-GU-A764-01"	"TCGA-BLCA"	0.23	12.0045644350528	FALSE	2	"chr3:31578630-85802914"	54224285	"unaltered"	"unaltered"
"TCGA-G2-AA3B-01"	"TCGA-BLCA"	0.84	11.0044891102414	TRUE	1	"chr3:50943764-53167882"	2224119	"altered"	"copynumber"
"TCGA-BT-A0YX-01"	"TCGA-BLCA"	0.49	12.3361523490499	FALSE	2	"chr3:28759878-91462299"	62702422	"unaltered"	"unaltered"
"TCGA-DK-AA71-01"	"TCGA-BLCA"	0.67	11.7882016363085	FALSE	3	"chr3:2170634-197812401"	195641768	"altered"	"mutation"
"TCGA-DK-A2I2-01"	"TCGA-BLCA"	0.3	11.4472914673355	TRUE	2	"chr3:17416447-73868916"	56452470	"unaltered"	"unaltered"
"TCGA-XF-AAN3-01"	"TCGA-BLCA"	0.29	11.3967960563303	TRUE	1	"chr3:2170634-91462299"	89291666	"altered"	"copynumber"
"TCGA-ZF-AA5P-01"	"TCGA-BLCA"	NA	11.8014485646612	FALSE	NA	"chr3:35740270-61041404"	25301135	NA	NA
"TCGA-BT-A20V-01"	"TCGA-BLCA"	0.66	12.2460270786773	FALSE	2	"chr3:45343141-53498728"	8155588	"unaltered"	"unaltered"
"TCGA-CF-A7I0-01"	"TCGA-BLCA"	0.68	12.1081109403272	FALSE	2	"chr3:2170634-80107010"	77936377	"unaltered"	"unaltered"
"TCGA-2F-A9KQ-01"	"TCGA-BLCA"	0.96	11.312216845763	TRUE	2	"chr3:46706963-53301715"	6594753	"unaltered"	"unaltered"
"TCGA-ZF-A9RE-01"	"TCGA-BLCA"	0.76	11.917020946037	FALSE	2	"chr3:2170634-54212271"	52041638	"unaltered"	"unaltered"
"TCGA-E7-A7XN-01"	"TCGA-BLCA"	0.32	12.3160989774059	FALSE	2	"chr3:2170634-197812401"	195641768	"unaltered"	"unaltered"
"TCGA-G2-A2EC-01"	"TCGA-BLCA"	NA	11.8264039033911	FALSE	NA	"chr3:46729956-107663175"	60933220	NA	NA
"TCGA-E7-A678-01"	"TCGA-BLCA"	0.92	11.8608393863747	FALSE	2	"chr3:2170634-196023871"	193853238	"unaltered"	"unaltered"
"TCGA-G2-A2EF-01"	"TCGA-BLCA"	0.61	11.5135764207349	TRUE	2	"chr3:49017246-58059811"	9042566	"unaltered"	"unaltered"
"TCGA-GD-A3OS-01"	"TCGA-BLCA"	0.72	12.2051160221034	FALSE	2	"chr3:45073253-69547057"	24473805	"unaltered"	"unaltered"
"TCGA-DK-A3WW-01"	"TCGA-BLCA"	0.5	12.0347163846008	FALSE	2	"chr3:2170634-145887787"	143717154	"unaltered"	"unaltered"
"TCGA-GD-A3OQ-01"	"TCGA-BLCA"	0.78	12.0435702644766	FALSE	2	"chr3:22422637-71908609"	49485973	"unaltered"	"unaltered"
"TCGA-FD-A3SQ-01"	"TCGA-BLCA"	0.5	11.8393065432996	FALSE	2	"chr3:2170634-197812401"	195641768	"unaltered"	"unaltered"
"TCGA-G2-A2EL-01"	"TCGA-BLCA"	0.98	11.066482178004	TRUE	1	"chr3:46907540-53514902"	6607363	"altered"	"copynumber"
"TCGA-XF-A9T8-01"	"TCGA-BLCA"	0.44	11.8711151996564	FALSE	2	"chr3:2170634-61040679"	58870046	"unaltered"	"unaltered"
"TCGA-GD-A3OP-01"	"TCGA-BLCA"	0.24	11.9391445875142	FALSE	4	"chr3:2170634-86035233"	83864600	"unaltered"	"unaltered"
"TCGA-XF-AAML-01"	"TCGA-BLCA"	0.74	12.4196122422853	FALSE	4	"chr3:12574081-76945353"	64371273	"unaltered"	"unaltered"
"TCGA-4Z-AA82-01"	"TCGA-BLCA"	0.58	11.344514188558	TRUE	2	"chr3:12097266-65427378"	53330113	"unaltered"	"unaltered"
"TCGA-K4-A5RI-01"	"TCGA-BLCA"	0.71	11.493693353699	TRUE	1	"chr3:2170634-85636949"	83466316	"altered"	"copynumber"
"TCGA-XF-A9ST-01"	"TCGA-BLCA"	0.87	12.3179866997874	FALSE	3	"chr3:50501788-52704149"	2202362	"unaltered"	"unaltered"
"TCGA-GV-A3QH-01"	"TCGA-BLCA"	0.48	12.2188945631171	FALSE	6	"chr3:46401695-52627026"	6225332	"unaltered"	"unaltered"
"TCGA-4Z-AA81-01"	"TCGA-BLCA"	0.55	11.4554774578517	TRUE	3	"chr3:12450038-59569102"	47119065	"unaltered"	"unaltered"
"TCGA-FD-A3B6-01"	"TCGA-BLCA"	0.42	11.739075938835	FALSE	2	"chr3:46240253-74231178"	27990926	"unaltered"	"unaltered"
"TCGA-DK-A1AC-01"	"TCGA-BLCA"	0.69	11.0580842799884	TRUE	3	"chr3:35440410-72769751"	37329342	"unaltered"	"unaltered"
"TCGA-ZF-A9R4-01"	"TCGA-BLCA"	0.91	12.0611309123693	FALSE	4	"chr3:45552477-52457431"	6904955	"unaltered"	"unaltered"
"TCGA-K4-AAQO-01"	"TCGA-BLCA"	0.33	11.2958232638186	TRUE	4	"chr3:50001870-78214178"	28212309	"unaltered"	"unaltered"
"TCGA-FD-A6TB-01"	"TCGA-BLCA"	0.28	12.4772908711161	FALSE	2	"chr3:2170634-197812401"	195641768	"unaltered"	"unaltered"
"TCGA-XF-AAMG-01"	"TCGA-BLCA"	0.75	11.1196497152869	TRUE	2	"chr3:49044217-63073436"	14029220	"unaltered"	"unaltered"
"TCGA-CF-A1HR-01"	"TCGA-BLCA"	0.4	12.4730041521561	FALSE	6	"chr3:34504111-53503488"	18999378	"unaltered"	"unaltered"
"TCGA-CF-A3MG-01"	"TCGA-BLCA"	0.8	12.0135548076598	FALSE	4	"chr3:2170634-73721245"	71550612	"unaltered"	"unaltered"
"TCGA-LC-A66R-01"	"TCGA-BLCA"	0.37	11.6836968588083	FALSE	2	"chr3:14389961-61081314"	46691354	"unaltered"	"unaltered"
"TCGA-GU-AATP-01"	"TCGA-BLCA"	0.65	11.7252146706633	FALSE	3	"chr3:51669593-55413052"	3743460	"unaltered"	"unaltered"
"TCGA-2F-A9KW-01"	"TCGA-BLCA"	0.58	12.0371234598182	FALSE	4	"chr3:48946000-52784446"	3838447	"unaltered"	"unaltered"
"TCGA-UY-A9PF-01"	"TCGA-BLCA"	0.37	11.3957921376022	TRUE	4	"chr3:2170634-127700275"	125529642	"unaltered"	"unaltered"
"TCGA-FD-A43N-01"	"TCGA-BLCA"	0.5	11.4841561042169	TRUE	6	"chr3:50913796-61097926"	10184131	"unaltered"	"unaltered"
"TCGA-GV-A3JW-01"	"TCGA-BLCA"	0.84	11.4610080108121	TRUE	2	"chr3:37391315-59720118"	22328804	"unaltered"	"unaltered"
"TCGA-DK-A1A7-01"	"TCGA-BLCA"	0.74	11.360578338767	TRUE	3	"chr3:50800518-53476670"	2676153	"unaltered"	"unaltered"
"TCGA-E7-A7DV-01"	"TCGA-BLCA"	0.35	11.8634795463678	FALSE	2	"chr3:35110668-76740238"	41629571	"unaltered"	"unaltered"
"TCGA-DK-A3IK-01"	"TCGA-BLCA"	0.5	11.3743968347816	TRUE	3	"chr3:50187596-53899849"	3712254	"unaltered"	"unaltered"
"TCGA-C4-A0F0-01"	"TCGA-BLCA"	0.39	11.6929582350252	FALSE	5	"chr3:39025432-61040294"	22014863	"unaltered"	"unaltered"
"TCGA-DK-A3X2-01"	"TCGA-BLCA"	0.92	11.7566965744126	FALSE	4	"chr3:50538195-86674475"	36136281	"altered"	"mutation"
"TCGA-E5-A2PC-01"	"TCGA-BLCA"	0.79	12.0666126621838	FALSE	3	"chr3:12026850-59720118"	47693269	"unaltered"	"unaltered"
"TCGA-BT-A20Q-01"	"TCGA-BLCA"	0.68	11.618139194603	FALSE	2	"chr3:2170634-102861957"	100691324	"unaltered"	"unaltered"
"TCGA-DK-A3IM-01"	"TCGA-BLCA"	0.83	11.7059236981719	FALSE	2	"chr3:51293378-53317944"	2024567	"unaltered"	"unaltered"
"TCGA-FD-A43P-01"	"TCGA-BLCA"	0.42	11.7870002772409	FALSE	3	"chr3:39832114-73869857"	34037744	"unaltered"	"unaltered"
"TCGA-SY-A9G0-01"	"TCGA-BLCA"	0.17	11.8084297592603	FALSE	4	"chr3:2170634-197812401"	195641768	"unaltered"	"unaltered"
"TCGA-XF-A9SU-01"	"TCGA-BLCA"	0.26	11.5767955318629	FALSE	3	"chr3:45185481-57874537"	12689057	"unaltered"	"unaltered"
"TCGA-UY-A78O-01"	"TCGA-BLCA"	0.76	10.6732425661598	TRUE	2	"chr3:52223619-52917486"	693868	"unaltered"	"unaltered"
"TCGA-CF-A8HX-01"	"TCGA-BLCA"	0.95	11.4070808142669	TRUE	1	"chr3:50001870-52759837"	2757968	"altered"	"copynumber"
"TCGA-FD-A3SL-01"	"TCGA-BLCA"	0.42	11.2639159269302	TRUE	4	"chr3:45579074-53480098"	7901025	"unaltered"	"unaltered"
"TCGA-4Z-AA87-01"	"TCGA-BLCA"	0.61	11.090794008212	TRUE	3	"chr3:49573409-59684919"	10111511	"unaltered"	"unaltered"
"TCGA-DK-AA6S-01"	"TCGA-BLCA"	0.68	12.3990925872448	FALSE	2	"chr3:46460279-53233179"	6772901	"unaltered"	"unaltered"
"TCGA-UY-A9PA-01"	"TCGA-BLCA"	0.18	11.8057270262753	FALSE	2	"chr3:2170634-55506937"	53336304	"unaltered"	"unaltered"
"TCGA-FD-A3B5-01"	"TCGA-BLCA"	0.52	12.2504859694288	FALSE	6	"chr3:45658140-52670685"	7012546	"unaltered"	"unaltered"
"TCGA-FD-A62O-01"	"TCGA-BLCA"	0.85	11.6836894987726	FALSE	4	"chr3:2170634-107995784"	105825151	"unaltered"	"unaltered"
"TCGA-FD-A3SM-01"	"TCGA-BLCA"	0.69	11.7842601007196	FALSE	2	"chr3:14459236-76650267"	62191032	"unaltered"	"unaltered"
"TCGA-GV-A3QF-01"	"TCGA-BLCA"	0.54	12.1350769525211	FALSE	4	"chr3:50259429-55415601"	5156173	"unaltered"	"unaltered"
"TCGA-DK-A1AE-01"	"TCGA-BLCA"	0.83	12.2127799987851	FALSE	2	"chr3:23838371-61066970"	37228600	"unaltered"	"unaltered"
"TCGA-4Z-AA7Y-01"	"TCGA-BLCA"	0.94	12.0804567623247	FALSE	2	"chr3:37730503-59308581"	21578079	"unaltered"	"unaltered"
"TCGA-CU-A0YO-01"	"TCGA-BLCA"	0.33	11.3605900976894	TRUE	1	"chr3:45593386-58190462"	12597077	"altered"	"copynumber"
"TCGA-FD-A3B3-01"	"TCGA-BLCA"	0.21	12.2793957284081	FALSE	2	"chr3:39224630-98596712"	59372083	"unaltered"	"unaltered"
"TCGA-CF-A5U8-01"	"TCGA-BLCA"	0.97	11.7757617095274	FALSE	2	"chr3:36274311-197812401"	161538091	"unaltered"	"unaltered"
"TCGA-GC-A3YS-01"	"TCGA-BLCA"	0.48	11.8886287145598	FALSE	3	"chr3:2170634-75879414"	73708781	"unaltered"	"unaltered"
"TCGA-BT-A20W-01"	"TCGA-BLCA"	0.72	11.5649574812213	FALSE	2	"chr3:47241627-52421208"	5179582	"unaltered"	"unaltered"
"TCGA-DK-AA6P-01"	"TCGA-BLCA"	0.83	11.2269984812073	TRUE	5	"chr3:45552630-53155454"	7602825	"unaltered"	"unaltered"
"TCGA-ZF-A9RC-01"	"TCGA-BLCA"	0.2	12.3432060920112	FALSE	7	"chr3:52096069-53673835"	1577767	"unaltered"	"unaltered"
"TCGA-FD-A5BV-01"	"TCGA-BLCA"	0.89	11.0363522782802	TRUE	1	"chr3:39822643-87752455"	47929813	"altered"	"copynumber"
"TCGA-5N-A9KI-01"	"TCGA-BLCA"	0.58	12.1761869604838	FALSE	4	"chr3:40402037-62095612"	21693576	"unaltered"	"unaltered"
"TCGA-FD-A43X-01"	"TCGA-BLCA"	0.94	12.1833007045764	FALSE	4	"chr3:41096181-54043307"	12947127	"unaltered"	"unaltered"
"TCGA-C4-A0F6-01"	"TCGA-BLCA"	0.68	11.7206051334997	FALSE	3	"chr3:4696861-67456549"	62759689	"unaltered"	"unaltered"
"TCGA-E7-A5KE-01"	"TCGA-BLCA"	0.92	12.344730866453	FALSE	5	"chr3:52373535-52472887"	99353	"unaltered"	"unaltered"
"TCGA-XF-A9SL-01"	"TCGA-BLCA"	NA	11.9744957927493	FALSE	NA	"chr3:2170634-197812401"	195641768	NA	NA
"TCGA-K4-A54R-01"	"TCGA-BLCA"	0.46	11.0157377360131	TRUE	4	"chr3:45494192-53605386"	8111195	"altered"	"mutation"
"TCGA-XF-AAN1-01"	"TCGA-BLCA"	0.91	12.0722986060832	FALSE	2	"chr3:12977485-76383835"	63406351	"unaltered"	"unaltered"
"TCGA-FD-A3B8-01"	"TCGA-BLCA"	NA	11.8679510485297	FALSE	NA	"chr3:14459236-94038851"	79579616	NA	NA
"TCGA-GC-A6I1-01"	"TCGA-BLCA"	0.31	12.0443829033214	FALSE	3	"chr3:50040095-74302910"	24262816	"unaltered"	"unaltered"
"TCGA-BL-A13J-01"	"TCGA-BLCA"	0.56	10.2520935565496	TRUE	4	"chr3:37620483-63514475"	25893993	"unaltered"	"unaltered"
"TCGA-DK-A1AA-01"	"TCGA-BLCA"	0.93	11.7691253845311	FALSE	2	"chr3:2170634-191772653"	189602020	"unaltered"	"unaltered"
"TCGA-UY-A78N-01"	"TCGA-BLCA"	0.78	12.0039227014994	FALSE	4	"chr3:38999905-59026451"	20026547	"unaltered"	"unaltered"
"TCGA-DK-A3IT-01"	"TCGA-BLCA"	0.46	11.8184623270865	FALSE	4	"chr3:30966630-59085731"	28119102	"unaltered"	"unaltered"
"TCGA-ZF-AA4U-01"	"TCGA-BLCA"	0.88	12.1274806093482	FALSE	4	"chr3:50523496-53060285"	2536790	"unaltered"	"unaltered"
"TCGA-UY-A8OC-01"	"TCGA-BLCA"	0.55	12.0421874820651	FALSE	2	"chr3:38102860-70294303"	32191444	"unaltered"	"unaltered"
"TCGA-K4-A5RJ-01"	"TCGA-BLCA"	0.33	12.452391469882	FALSE	3	"chr3:2170634-54291329"	52120696	"unaltered"	"unaltered"
"TCGA-ZF-A9R0-01"	"TCGA-BLCA"	0.51	11.5582483775685	FALSE	4	"chr3:46247321-53238298"	6990978	"unaltered"	"unaltered"
"TCGA-DK-A2I4-01"	"TCGA-BLCA"	0.29	11.7644094691421	FALSE	3	"chr3:16819686-56992816"	40173131	"unaltered"	"unaltered"
"TCGA-FD-A6TE-01"	"TCGA-BLCA"	0.82	11.5938471278093	FALSE	4	"chr3:50231204-54094450"	3863247	"unaltered"	"unaltered"
"TCGA-E7-A5KF-01"	"TCGA-BLCA"	0.98	11.7993852116988	FALSE	2	"chr3:2170634-197812401"	195641768	"unaltered"	"unaltered"
"TCGA-GD-A2C5-01"	"TCGA-BLCA"	1	11.5131214020356	TRUE	5	"chr3:46411372-53414133"	7002762	"unaltered"	"unaltered"
"TCGA-G2-A2EK-01"	"TCGA-BLCA"	0.54	11.3364297495534	TRUE	2	"chr3:2170634-62101706"	59931073	"unaltered"	"unaltered"
"TCGA-DK-AA6R-01"	"TCGA-BLCA"	0.58	11.7419387981953	FALSE	2	"chr3:31130594-58092834"	26962241	"unaltered"	"unaltered"
"TCGA-4Z-AA80-01"	"TCGA-BLCA"	0.47	11.2472684254962	TRUE	4	"chr3:50614187-54044342"	3430156	"unaltered"	"unaltered"
"TCGA-UY-A78K-01"	"TCGA-BLCA"	0.27	12.2277752245597	FALSE	7	"chr3:24020722-59592613"	35571892	"unaltered"	"unaltered"
"TCGA-XF-A9T0-01"	"TCGA-BLCA"	0.76	10.7306092806545	TRUE	3	"chr3:48977759-56771204"	7793446	"altered"	"mutation"
"TCGA-XF-A9T3-01"	"TCGA-BLCA"	0.41	12.259081701535	FALSE	3	"chr3:2170634-53670976"	51500343	"unaltered"	"unaltered"
"TCGA-FD-A3SP-01"	"TCGA-BLCA"	0.32	12.3038195598788	FALSE	2	"chr3:21690594-61057760"	39367167	"unaltered"	"unaltered"
"TCGA-DK-AA6Q-01"	"TCGA-BLCA"	0.73	11.8905692003891	FALSE	1	"chr3:2170634-76479061"	74308428	"altered"	"copynumber"
"TCGA-4Z-AA89-01"	"TCGA-BLCA"	0.87	11.6292791461098	FALSE	2	"chr3:30305863-76262876"	45957014	"unaltered"	"unaltered"
"TCGA-K4-A6FZ-01"	"TCGA-BLCA"	0.33	11.9246106438864	FALSE	3	"chr3:2170634-106719191"	104548558	"unaltered"	"unaltered"
"TCGA-FD-A6TF-01"	"TCGA-BLCA"	0.31	12.334787964886	FALSE	4	"chr3:48201192-52985469"	4784278	"unaltered"	"unaltered"
"TCGA-ZF-AA4W-01"	"TCGA-BLCA"	0.35	11.4353607630984	TRUE	1	"chr3:37120525-91462299"	54341775	"altered"	"copynumber"
"TCGA-DK-AA6W-01"	"TCGA-BLCA"	0.8	11.8946065647341	FALSE	2	"chr3:42669035-52898992"	10229958	"unaltered"	"unaltered"
"TCGA-2F-A9KP-01"	"TCGA-BLCA"	0.64	11.5512554116672	FALSE	4	"chr3:50689088-53511535"	2822448	"unaltered"	"unaltered"
"TCGA-YF-AA3L-01"	"TCGA-BLCA"	0.91	12.6108568521767	FALSE	4	"chr3:46705547-53561685"	6856139	"unaltered"	"unaltered"
"TCGA-K4-A6MB-01"	"TCGA-BLCA"	0.75	12.4474846217997	FALSE	4	"chr3:37059015-59250441"	22191427	"unaltered"	"unaltered"
"TCGA-CU-A0YN-01"	"TCGA-BLCA"	0.4	11.6034886614386	FALSE	2	"chr3:17995202-78277837"	60282636	"unaltered"	"unaltered"
"TCGA-KQ-A41N-01"	"TCGA-BLCA"	0.76	11.8987771995239	FALSE	2	"chr3:42181346-62058562"	19877217	"unaltered"	"unaltered"
"TCGA-K4-A3WS-01"	"TCGA-BLCA"	0.4	11.4812269349751	TRUE	4	"chr3:41862178-59466641"	17604464	"unaltered"	"unaltered"
"TCGA-BT-A0S7-01"	"TCGA-BLCA"	0.29	11.9503077295004	FALSE	5	"chr3:2170634-68161221"	65990588	"unaltered"	"unaltered"
"TCGA-HQ-A2OF-01"	"TCGA-BLCA"	0.93	12.2788034206868	FALSE	3	"chr3:2170634-197812401"	195641768	"unaltered"	"unaltered"
