ensembl_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	description
ENSG00000053702	267.5499034	0.505563865	0.127362195	2.26E-05	0.000376472	NRIP2	nuclear receptor interacting protein 2
ENSG00000053900	853.0478118	0.283063346	0.074702074	5.70E-05	0.000797544	ANAPC4	anaphase promoting complex subunit 4
ENSG00000053918	499.4193294	0.674875361	0.204486936	0.000101307	0.001246407	KCNQ1	potassium voltage-gated channel subfamily Q member 1
ENSG00000054148	3393.064241	0.353226966	0.117385801	0.000928757	0.007252515	PHPT1	phosphohistidine phosphatase 1
ENSG00000054219	168.0767236	-0.609244256	0.208729411	0.000201352	0.002147308	LY75	lymphocyte antigen 75
ENSG00000054523	2351.842013	0.283470297	0.097137281	0.001079054	0.008153915	KIF1B	kinesin family member 1B
ENSG00000054598	400.8112989	0.518577508	0.230772582	0.003223306	0.019033462	FOXC1	forkhead box C1
ENSG00000054793	2715.216349	0.388173276	0.137247536	0.001523752	0.010644402	ATP9A	ATPase phospholipid transporting 9A (putative)
ENSG00000054983	896.2810231	-0.387868085	0.165301337	0.003662203	0.02089549	GALC	galactosylceramidase
ENSG00000055118	190.3861174	2.210877663	0.364186852	4.12E-10	3.44E-08	KCNH2	potassium voltage-gated channel subfamily H member 2
ENSG00000055732	131.7895926	-1.247244741	0.468299727	6.73E-05	0.000906448	MCOLN3	mucolipin TRP cation channel 3
ENSG00000055955	653.4701339	-0.487659141	0.269475359	0.005599167	0.028855848	ITIH4	inter-alpha-trypsin inhibitor heavy chain 4
ENSG00000055957	60983.80067	-0.446913567	0.319322896	0.00944915	0.042676812	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1
ENSG00000056277	129.8939993	-0.241829067	0.104965841	0.008795184	0.040427344	ZNF280C	zinc finger protein 280C
ENSG00000056291	65.73940888	-1.609321655	0.827565183	0.00022679	0.002362582	NPFFR2	neuropeptide FF receptor 2
ENSG00000057294	1173.146107	-0.559894616	0.163680776	0.000106356	0.001295832	PKP2	plakophilin 2
ENSG00000057593	6248.768757	0.582739372	0.231696766	0.000581928	0.004997291	F7	coagulation factor VII
ENSG00000057608	10634.54542	0.152705952	0.061569986	0.010620334	0.046547618	GDI2	GDP dissociation inhibitor 2
ENSG00000058056	861.306263	-0.399470531	0.095961758	6.88E-06	0.000141955	USP13	ubiquitin specific peptidase 13
ENSG00000058404	178.0344267	0.843072829	0.329638598	0.001271847	0.009298551	CAMK2B	calcium/calmodulin dependent protein kinase II beta
ENSG00000058668	4882.145093	0.42327774	0.137815399	0.000735159	0.006076616	ATP2B4	ATPase plasma membrane Ca2+ transporting 4
ENSG00000059122	2180.093539	-0.212438515	0.086661421	0.00768634	0.036563373	FLYWCH1	FLYWCH-type zinc finger 1
ENSG00000060709	45.26226554	-0.219122058	0.385376391	0.004392412	0.023998433	RIMBP2	RIMS binding protein 2
ENSG00000060718	857.6563547	-1.140723305	0.454876831	0.000436376	0.003987053	COL11A1	collagen type XI alpha 1 chain
ENSG00000061273	2208.493118	0.23391056	0.096438772	0.007267102	0.035008882	HDAC7	histone deacetylase 7
ENSG00000061455	57.16610361	0.906774104	0.209628967	2.27E-06	5.49E-05	PRDM6	PR/SET domain 6
ENSG00000061656	530.918026	-0.48031532	0.210236431	0.001446504	0.010239701	SPAG4	sperm associated antigen 4
ENSG00000061794	3104.901488	0.172736352	0.067080682	0.00725936	0.035148563	MRPS35	mitochondrial ribosomal protein S35
ENSG00000061938	1930.490601	-0.446891602	0.105547733	6.04E-06	0.000127097	TNK2	tyrosine kinase non receptor 2
ENSG00000062485	5397.978171	0.502671286	0.080908686	1.03E-10	1.02E-08	CS	citrate synthase
ENSG00000062598	1181.411565	-0.2638706	0.065668026	2.66E-05	0.000430008	ELMO2	engulfment and cell motility 2
ENSG00000062716	7758.201352	0.219155849	0.09566792	0.010265418	0.045339663	VMP1	vacuole membrane protein 1
ENSG00000062822	893.9810413	-0.240600566	0.094779675	0.00509481	0.026834199	POLD1	"DNA polymerase delta 1, catalytic subunit"
ENSG00000063180	228.1932846	-0.394114789	0.221392506	0.006732662	0.033294855	CA11	carbonic anhydrase 11
ENSG00000063322	3170.055863	0.148362707	0.059188799	0.008138578	0.038234326	MED29	mediator complex subunit 29
ENSG00000063978	2114.820603	0.264149797	0.065101964	1.95E-05	0.000334334	RNF4	ring finger protein 4
ENSG00000064042	1145.729632	0.430354688	0.19719423	0.004251366	0.023448919	LIMCH1	LIM and calponin homology domains 1
ENSG00000064115	4085.979313	0.296399201	0.108836667	0.003079082	0.018389728	TM7SF3	transmembrane 7 superfamily member 3
ENSG00000064205	230.5991325	-0.728495712	0.409241535	0.002108009	0.013639451	CCN5	cellular communication network factor 5
ENSG00000064393	6241.108477	0.285499231	0.125692148	0.009510675	0.042892728	HIPK2	homeodomain interacting protein kinase 2
ENSG00000064419	2393.110992	0.215688886	0.06426538	0.000525008	0.004611804	TNPO3	transportin 3
ENSG00000064545	2569.832093	0.250171685	0.095664117	0.004455352	0.02420011	TMEM161A	transmembrane protein 161A
ENSG00000064666	2915.087239	-0.408336322	0.13322006	0.000456551	0.00414125	CNN2	calponin 2
ENSG00000064726	1800.45812	0.357453834	0.072561058	2.38E-07	8.17E-06	BTBD1	BTB domain containing 1
ENSG00000064886	105.5123312	0.89664035	0.313310953	8.05E-05	0.001029994	CHI3L2	chitinase 3 like 2
ENSG00000065057	1477.437744	-0.492069602	0.14524503	6.34E-05	0.000867493	NTHL1	nth like DNA glycosylase 1
ENSG00000065060	1028.721728	0.306393281	0.095708599	0.00055374	0.004807207	BLTP3A	bridge-like lipid transfer protein family member 3A
ENSG00000065154	3573.416536	0.719121871	0.283100025	0.001460197	0.010348293	OAT	ornithine aminotransferase
ENSG00000065320	666.345161	0.672303633	0.208179218	7.87E-05	0.001022808	NTN1	netrin 1
ENSG00000065548	2331.836541	0.177120472	0.06080121	0.002495672	0.015569236	ZC3H15	zinc finger CCCH-type containing 15
ENSG00000065559	1031.119438	0.277771347	0.07455483	0.000115317	0.001384582	MAP2K4	mitogen-activated protein kinase kinase 4
ENSG00000065621	438.2214789	-1.259352366	0.22697301	2.56E-09	1.69E-07	GSTO2	glutathione S-transferase omega 2
ENSG00000065809	4773.859854	0.325733314	0.103935879	0.000486638	0.004372022	FAM107B	family with sequence similarity 107 member B
ENSG00000065883	1998.665411	0.17667514	0.063276145	0.003575121	0.020526618	CDK13	cyclin dependent kinase 13
ENSG00000066032	322.966422	-0.268553823	0.45668595	0.007723422	0.036717808	CTNNA2	catenin alpha 2
ENSG00000066084	1979.071598	0.286930543	0.079809993	0.000136137	0.001579616	DIP2B	disco interacting protein 2 homolog B
ENSG00000066135	760.8639294	0.217561345	0.074956457	0.001987173	0.012984388	KDM4A	lysine demethylase 4A
ENSG00000066185	136.987886	-0.440477881	0.190765954	0.002161522	0.013910242	ZMYND12	zinc finger MYND-type containing 12
ENSG00000066230	201.4994678	0.707094014	0.321138651	0.003764024	0.021364395	SLC9A3	solute carrier family 9 member A3
ENSG00000066248	1353.870732	0.583210839	0.158510833	6.82E-05	0.000807461	NGEF	neuronal guanine nucleotide exchange factor
ENSG00000066382	115.0382352	-0.559656885	0.266643954	0.00307495	0.018384966	MPPED2	metallophosphoesterase domain containing 2
ENSG00000066422	742.7899225	-0.247534881	0.07561549	0.000518668	0.004577633	ZBTB11	zinc finger and BTB domain containing 11
ENSG00000066735	218.7500262	0.457693093	0.195248086	0.002752293	0.016870172	KIF26A	kinesin family member 26A
ENSG00000067048	1071.584437	-0.954103529	0.688650368	0.000967112	0.007488936	DDX3Y	DEAD-box helicase 3 Y-linked
ENSG00000067057	3128.228202	0.920327438	0.217842527	7.89E-07	2.26E-05	PFKP	"phosphofructokinase, platelet"
ENSG00000067141	3114.363514	0.458514551	0.103296788	3.01E-06	7.00E-05	NEO1	neogenin 1
ENSG00000067167	13257.93252	0.263912456	0.108600463	0.003819991	0.021615205	TRAM1	translocation associated membrane protein 1
